P006 第二课-故事的要素2.2
[00:28:47.590–00:28:48.556] 这个故事的主题是。
[00:28:49.446–00:28:49.964] 价值是。
[00:28:56.262–00:28:57.548] 真正的修行。
[00:29:00.806–00:29:02.924] 实际上，他们在路上已经经历了。
[00:29:06.694–00:29:07.724] 真正的佛法。
[00:29:08.966–00:29:10.028] 就在他们内心。
[00:29:12.038–00:29:13.292] 最后主题不就是这样吗？
[00:29:15.366–00:29:20.396] 他们的吸钱渠道的经营是假的呀，空的呀，没有用的呀。
[00:29:21.254–00:29:28.876] 对吧而且悟空还说呢，就那我们可以成佛了吗？我们做了这么大多贡献，我们成佛了吗？
[00:29:29.958–00:29:34.220] 关音怎么告诉他们的？那么早就是了呀，你们看看你们自己呀。
[00:29:36.134–00:29:41.900] 成佛普渡众生，不是某个仪式，不是某篇经文。
[00:29:42.502–00:29:48.364] 是你们一路上做的善举，善行，已经普度众生了。
[00:29:49.158–00:29:50.220] 这是主题。
[00:29:50.790–00:29:51.372] 明白吗？
[00:29:52.518–00:29:53.132] 正能量吗？
[00:29:54.118–00:29:56.076] 太他妈挣了，倍儿正啊。
[00:29:57.158–00:29:57.836] 是不是啊？
[00:29:58.822–00:29:59.788] 这太正了。
[00:30:01.286–00:30:03.916] 就你上什么西天取经啊。
[00:30:05.510–00:30:06.156] 你去。
[00:30:06.950–00:30:08.812] 解救百姓就是取经。
[00:30:10.406–00:30:11.788] 就是普渡众生。
[00:30:12.326–00:30:15.404] 不是西天有本经文让你普渡众生。
[00:30:16.486–00:30:23.852] 就是这个这就是西游记的主题，是你一路上去解救的那些人，帮助的那些人。
[00:30:24.678–00:30:27.020] 降妖伏魔做的这些好事儿。
[00:30:27.526–00:30:31.052] 啊，就是普渡众生，这就是西游记的意义主题。
[00:30:32.038–00:30:36.076] 所以我跟我跟大家说，我为什么前面讲到主题的时候，我一直。
[00:30:37.126–00:30:40.780] 这个这个这个欲言又止，欲句欢迎的。
[00:30:41.446–00:30:48.396] 就是因为我们你不体会到这整个故事，你是没有办法理解为什么。
[00:30:49.062–00:30:50.956] 一个故事还需要个主题。
[00:30:52.358–00:31:00.172] 我如果不讲后面单说哎一个故事有三要素，人物事件主题，你听到脑子面就啊，什么人出了什么事儿主题。
[00:31:01.510–00:31:03.468] 对吧有什么好主题的？
[00:31:04.774–00:31:05.676] 这就是主题。
[00:31:06.470–00:31:08.332] 这就是主题明白了吧？
[00:31:09.574–00:31:10.636] 所以你现在看啊。
[00:31:11.334–00:31:12.588] 你要写一个故事。
[00:31:13.958–00:31:16.748] 你把这8个事情从头到尾说一遍。
[00:31:17.318–00:31:18.188] 诶，你就有了。
[00:31:19.206–00:31:23.340] 对吧一个侠客想报仇。
[00:31:24.038–00:31:25.388] 找仇人去。
[00:31:26.278–00:31:27.596] 头人可不好找吧。
[00:31:29.510–00:31:30.764] 小兵挺多。
[00:31:31.238–00:31:39.980] 一路上都跟我干，而且这仇人武艺高强，结果呢我没有杀掉这个仇人，但是我化解了心中的仇恨。
[00:31:41.990–00:31:44.780] 主题就是报酬。其实。
[00:31:45.670–00:31:47.404] 并不一定要杀掉对方。
[00:31:47.910–00:31:49.964] 你只需要化解心中的仇恨。
[00:31:51.014–00:31:52.364] 嗯，主题。
[00:31:53.702–00:32:00.076] 是不是？所以说随便一个怂，这这这最俗最怂的故事都可以搞搞出一个故事。
[00:32:01.158–00:32:09.036] 那你说哦那就是你告诉我们8个元素，我们把它组在一块搞个从故事啊这节课就就这些吗？
[00:32:09.510–00:32:10.828] 当然不是同学们。
[00:32:11.974–00:32:15.116] 这8个东西搞起来是有技巧的。
[00:32:16.102–00:32:16.940] 是有技巧的。
[00:32:18.150–00:32:19.340] 我们下节课再说吧。
[00:32:20.390–00:32:21.004] 好吧。
[00:32:21.478–00:32:21.964] 好。
[00:32:22.502–00:32:22.924] 下课。
