P085 编剧视角拉片烧脑神作《致命ID》
[00:31:58.950–00:32:03.244] 比如说游戏，比如说剧玩啥是吧？比如说密室逃脱都是套这类故事。
[00:32:04.102–00:32:06.604] 所以说非常有必要学会写这种类型。
[00:32:07.430–00:32:08.044] 然后。
[00:32:08.614–00:32:19.436] 这个片子还有一点值得我们学习，就是两线虚实啊两线虚实。嗯，你可以理解另外一条审判线也当然也可以是回忆线，对吧？当然也可以是其他的线。
[00:32:20.486–00:32:26.348] 两线蓄设的时候啊，为了防止另外一条线比较无聊啊，要用标志性的东西来穿插。
[00:32:27.142–00:32:31.084] 在这部片子里面呢，就首先用了一个天气，两边都是瓢过大雨。
[00:32:31.590–00:32:34.604] 同时呢又用了一个诗歌啊，那个诗歌三次响起。
[00:32:35.398–00:32:36.428] 用一首诗。
[00:32:37.382–00:32:39.020] 吟唱轻轻的吟唱。
[00:32:39.718–00:32:41.388] 穿察两个虚事线。
[00:32:42.470–00:32:49.292] 难免就要故弄玄虚，也不叫故弄玄虚吧，就制造紧张气氛啊，我们可以看一下来，我们来看一下这个。
[00:32:50.278–00:32:55.468] 制造紧张气氛的一些典型的戏，就是明明不紧张，但是他把紧张气氛做出来啊。
[00:32:56.678–00:32:57.260] 来看一下。
[00:32:57.830–00:32:59.180] 第五趴，比如说第五趴。
[00:33:00.198–00:33:03.308] 司机来到这个旅馆啊，错。
[00:33:06.214–00:33:06.988] 多点。
[00:33:07.974–00:33:18.284] I mean, it's dead end Yeah, well if you don't mind, I got to try.
[00:33:19.718–00:33:22.540] Okay, that would be $30 cash, please.
[00:33:26.822–00:33:27.884] 哎。
[00:33:28.902–00:33:31.084] Didn't you used to be that actress?
[00:33:33.734–00:33:34.604] Yes.
[00:33:37.158–00:33:40.780] Now, is that a nice room?
[00:33:42.182–00:33:54.796] Because though我们说这里就是我说的啊，开始用复杂的人物管权人物设定进行风险暗示，不断的暗示。后面还有一场这种戏，我们先看这一场。
[00:34:00.326–00:34:01.708] It's very cozy.
[00:34:23.302–00:34:23.916] 我个。
[00:34:25.222–00:34:26.028] 要放你。
[00:34:27.974–00:34:30.284] 的小风不 wants to know.
[00:34:35.142–00:34:38.572] We're a little stuck here, George, I don't think we can get out tonight.
[00:34:39.942–00:34:40.492] 嗯。
[00:34:41.606–00:34:55.468] 营造紧张气氛啊呃来我们看一下进入第二幕的第一场上真正上路以后啊。
[00:34:56.454–00:34:57.932] 这的问题。
[00:34:59.846–00:35:02.988] 喂结嗯再见。
[00:35:06.022–00:35:06.796] 确实。
[00:35:08.262–00:35:12.876] shallow steady just keep comfortable. Then we should take radio Thats right. No, it's not. I can manage.
[00:35:20.646–00:35:21.804] 你。
[00:35:25.478–00:35:27.596] 开具的直先上去看。
[00:35:28.998–00:35:29.676] 是。
[00:35:31.462–00:35:32.428] 这要存证人。
[00:35:32.902–00:35:40.012] You better.
[00:35:44.806–00:35:45.996] 变更。
[00:35:46.886–00:35:47.596] 也没意。
[00:35:48.422–00:35:53.100] you.
[00:36:03.558–00:36:04.236] 你确不明。
[00:36:04.934–00:36:05.484] 什么？
[00:36:24.742–00:36:29.324] 目了啊，所有人就开始上路了，都在这住下来，开始展现每个人的。
[00:36:32.326–00:36:39.116] 来偷东西的偷东西。刚才这就是第二幕的开场戏，明白这意思吧？
[00:36:39.590–00:36:48.044] 配着BGM所有人就上路了。然后接下来下一场开始对吧，是吧？演员第一个嘛，明白这个道理啊。
[00:36:48.518–00:37:02.188] 所以说像这样的故事哎没有明确的主角，也没有明确的任务线但是故事的字募依然十分的清晰，对不对？你要跟着目标而走。
[00:37:02.982–00:37:05.484] 对吧跟着整个事态的发展走。
[00:37:05.958–00:37:18.028] 我们进到这个地方是要死人的，然后随人的住下，然后开始死，抓到凶手，然后呢发现不对，还要再抓另外一个啊，但是打不过灵魂黑夜，然后解决方案。第四幕。
[00:37:18.694–00:37:30.220] 明白吗？故事啊结构还是非常清晰的啊，再次再次强调一下，你像这种好莱坞的电影啊还是非常的规整的啊，非常规整。因为他们的审片环节比较复杂，好不好？
[00:37:32.198–00:37:36.108] 那关于这部片子的学习啊，就是咱们今天的呃内容。
[00:37:38.118–00:37:40.716] 。
