P049 二十三课-怎么写喜剧？（下）23.2
[00:27:11.782–00:27:12.588] 人物呀。
[00:27:13.190–00:27:15.884] 在各种喜剧片里面也是被解构的，不要不要。
[00:27:17.926–00:27:21.932] 你们自己去研究吧，这个难度不大啊这个难度不大，你们自己去研究吧。
[00:27:22.502–00:27:24.684] 我就不过多举例子了。然后。
[00:27:25.158–00:27:31.340] 还有啊比较重要的比较重要的呃，值得一讲的其实是台词。
[00:27:33.222–00:27:40.972] 哎，这个就对吧？是每一个喜剧片里面必须要用的必须要用的。你作为一个喜剧片，你怎么也得有喜剧台词嘛？
[00:27:41.542–00:27:43.116] 怎么也得有喜剧台词。
[00:27:43.782–00:27:44.588] 所以说。
[00:27:45.606–00:27:52.044] 这个是很重要的。当然我在讲台词那节课里面啊，我其实说过很多台词是跟着情境来的呀。
[00:27:52.998–00:27:55.308] 你的情境好，你的台词才牛逼呀。
[00:27:56.070–00:27:56.620] 对不对？
[00:27:57.414–00:28:00.876] 你的情境好，台词才牛逼啊。我们说比如说。
[00:28:01.382–00:28:05.324] 赵本山老师的那个那个小品礼要啥自行车？
[00:28:06.118–00:28:17.068] 要啥自行车本身不是一个不是一句特别搞笑的话，对吧？不是搞笑的台词。但是他在这个情境里面，哎，它就可以成为。
[00:28:18.022–00:28:22.476] 经典的喜剧台词，所以说台词啊有很多是跟着情景来的。
[00:28:23.206–00:28:24.716] 很多根据情境来的。
[00:28:26.182–00:28:31.084] 那样的台词呢也也更能让你记得住更有趣。
[00:28:33.990–00:28:51.788] 但是那个呢得得根据具体情景，得是你前面做的很好，你才能加上配合这些的优秀台词，对吧？配你的人物有一个很不合理的那个设定，有个很棒的标签。那么比如说那个那个那个那个。
[00:28:52.262–00:29:01.996] 肖dom对吧？是个很标签化的人物嘛，那他有自己的符合人设的台词，或者符合他行为方式的台词，大家能记得住。
[00:29:03.846–00:29:07.852] 那是一种情况。那种情况呢其实是考验的是你前面的功力。
[00:29:08.358–00:29:18.956] 我们单独来讲一下什么呢？就是你平地抠饼的时候，就是说情境一般，你就是要加上搞笑的台词，怎么加，这其实叫幽默。
[00:29:19.462–00:29:20.652] 这其实就叫幽默。
[00:29:21.542–00:29:32.396] 就是呃情境没啥，或者是目前的人设很一般。但是呢你就想说出有趣的台词，比如说那个老友记里面的。
[00:29:33.894–00:29:34.572] canderer。
[00:29:35.238–00:29:36.908] 老友记里面几个男主角。
[00:29:37.542–00:29:41.260] 那个jo易和rose都是有自己明显的。
[00:29:42.086–00:30:02.428] 人设特点，也如说他们从人物上其实就有笑点了。但是签在这呢人设就相对就故意设的很平，但是他语言很幽默。也就说这个角色很幽默，他的台词呢也会很有趣，对吧？像这种情况呢我们也是会经常遇到的，就是你这个角色是正常角色。
[00:30:02.598–00:30:05.740] 遇到正常事儿，但是我就想让他说话搞笑。
[00:30:06.374–00:30:09.388] 也是可以做的，这个就有点像那个了。
[00:30:09.862–00:30:11.980] 其实有点像相声啊。
[00:30:12.838–00:30:15.596] 或者是脱口秀那种感觉的底子了。
[00:30:17.350–00:30:23.660] 我也可以给大家简单讲一些方法吧。好吧，因为其实关于喜剧啊，完全可以开一个月的课。
[00:30:24.262–00:30:35.244] 对吧然后关于喜剧台词怎么创造，其实就是怎么讲笑话。我我再次强调啊，喜剧台词分两种，一种是根据你的情境和设定来的。
[00:30:36.070–00:30:38.156] 要啥自行车，对吧？这种。
[00:30:38.918–00:30:40.556] 他是考验的是你前面的功力。
[00:30:42.534–00:30:57.900] 然后第二种才是哎状况平平，人物平凡，我就是要写出幽默的台词那种呢其实考验的是你写脱口秀或者写相声的能力，我也可以给大家讲一讲。
[00:30:58.790–00:31:09.292] 但是呢那个也是一个庞杂的系统，脱口秀，那又是一个庞杂的系统。我给大家简单讲几个方法吧。好吧，简单讲几个方法。比如说我们说脱口秀里面。
[00:31:09.958–00:31:11.404] 他最重要的。
[00:31:11.942–00:31:17.900] 最重要的理念啊其实叫制造预期，打破预期嘛，也就是一个叫。
[00:31:19.910–00:31:20.972] 预期。
[00:31:22.278–00:31:23.084] 破除。
[00:31:23.878–00:31:24.556] 对吧。
[00:31:25.126–00:31:27.692] 预期破除呢其实不就是让你想不到吗。
[00:31:28.358–00:31:49.372] 让你想不到啊，也有两种方法，一种是我生破破你的预期。另外一种呢是我先引导你，我给你下一个套，下一个扣，然后再破除你的预期。所以它在这个预期破除这里，它有一种说法叫制造预期打破预期。当然了，在实际的台词当中。
[00:31:49.638–00:31:51.468] 有时候也不需要制造预期。
[00:31:51.974–00:31:54.668] 你就生破也可以。比如说啊。
[00:31:56.230–00:31:59.756] 比如说思维错位类错位类的台词。
[00:32:00.550–00:32:01.868] 错位类的台词。
[00:32:05.574–00:32:07.948] 这里都需要举例子，大家才能听得懂啊。
[00:32:09.414–00:32:10.348] 比如说啊。
[00:32:11.590–00:32:16.300] 女生宿舍女生宿舍里，然后呢一个。
[00:32:16.966–00:32:17.708] 女孩儿。
[00:32:19.430–00:32:31.116] 急匆匆跑回来说，我刚才在楼下便利店买爆米花，一个色狼想要从性骚扰我。然后我出来之后呢，他还跟踪我吓死我了，我跟村回来了，我差点让人强奸了。
[00:32:32.390–00:32:33.516] 然后他的室友说。
[00:32:34.662–00:32:36.204] 楼下便利店还开着呢。
[00:32:37.158–00:32:39.628] 还有爆米花啊，什么味儿的？
[00:32:40.294–00:32:40.780] 对吧。
[00:32:41.286–00:32:43.564] 这个呢就是一段搞笑台词。
[00:32:44.582–00:32:45.644] 就是错位。
[00:32:46.502–00:32:47.244] 因为。
[00:32:47.846–00:32:58.860] 你在描述你的悲惨经历，有色狼尾随你，骚扰你，大家全都不关心。大家关心的是你买的爆米花多少钱呃，什么味儿？
[00:32:59.494–00:33:03.244] 便利店还有吗？我也要下去买，这就是标准的错位。
[00:33:03.782–00:33:24.124] 其实错位本质上啊也是制造预期，打破预期。你在描述这件事情的时候，你制造的预期，这是大家关心什么色狼，对吧？这个大单我我们报警吧，我只制造这个预期，那么打破预期就是这就是一种方法，叫思维错位的一种方法。还有比如说从台词的角度啊。
[00:33:24.646–00:33:25.420] 重复。
[00:33:27.142–00:33:28.332] 有时候也是一种。
[00:33:28.838–00:33:29.644] 很好的方法。
[00:33:32.390–00:33:33.100] 比如说。
[00:33:37.990–00:33:39.756] 老有纪理，还说老有纪理。
[00:33:40.710–00:33:43.020] 那个有一对男女。
[00:33:43.590–00:33:44.300] 谈恋爱了。
[00:33:44.806–00:33:48.620] 就主角中有一对男女谈恋爱，唯一的知情人是。
[00:33:49.702–00:33:50.348] 交椅。
[00:33:50.822–00:33:54.764] 交易是知情人，然后那个呢其他人就来审问他。
[00:33:55.270–00:34:08.204] 审问他说就大家做好准备，就他是唯一的知情人来审问他这个这个这个那俩人到底什么情况，然后就开始连珠不号的问问题，说他们俩到底什么时候。
[00:34:08.902–00:34:10.156] 呃，搞在一块了。
[00:34:10.662–00:34:14.060] 就会说I don't know,我不知道。然后呢。
[00:34:15.046–00:34:17.292] 嗯，谁先追的谁？
[00:34:18.246–00:34:18.892] 我不知道。
[00:34:20.614–00:34:23.820] 那个他们俩是玩真的，还是就是约炮了？
[00:34:25.062–00:34:25.708] 我不知。
[00:34:26.310–00:34:26.892] 然后。
[00:34:28.134–00:34:31.244] 那个那个那个反正问了一连串的问题。
[00:34:32.102–00:34:33.612] 交易权势我不责。
[00:34:34.118–00:34:40.684] 就有点像张飞的，俺也一样，明白吧？就人家不管说什么，他都是俺也一样。
[00:34:41.414–00:34:57.260] 交易是我不知道，他是真的不知道，而且他最后也有反转说，那你他妈到底知道点什么呢？嗯，那次你不在家，他们在你床上打了一炮，这个是大家知道的，知道吧？这就是反转就是在重复。
[00:34:58.054–00:35:01.516] 重复也是就重复台词也是一种。
[00:35:04.454–00:35:07.788] 很有用的这个这个方式。
[00:35:08.486–00:35:10.188] 在那个。
[00:35:10.854–00:35:16.972] 美式脱口秀里面，他们还有一种叫法叫ca back。其实call back和。
[00:35:17.990–00:35:19.500] 重复啊不完全一样。
[00:35:20.390–00:35:34.156] topback更像是你前面点过这句词，你最后再用上合题，你懂我意思吧？就我这句话，你看你前面没笑，我再用一次的时候，你就笑了，我终于用上了，而且这次用对了。
[00:35:34.790–00:35:51.180] 其实它跟重复呢有点像，就是同一句台词重复，这叫重复的力量，重复台词是很有力量的，也是一种常用的方式。好吧，在台词这里啊，我这里讲的都是台词啊，与台词有关的方式啊。
[00:35:51.942–00:35:53.484] 还有比如说。
[00:35:54.054–00:35:54.892] 另。
[00:35:56.326–00:35:57.900] 类比或者比喻啊。
[00:35:58.470–00:36:00.684] 也是一种常用的台词方法。
[00:36:01.990–00:36:03.212] 给家讲个例子啊。
[00:36:05.414–00:36:06.540] 举个例子。
[00:36:07.174–00:36:17.100] 哎呀一下什么想例子是最累的一件事儿，你知道吧？得从你看过剧的剧里面，电影里面找出相关的正好对应的例子。
[00:36:19.846–00:36:27.564] 哎咱就说咱讲的课吧，我之前给大家讲电视剧和电影的区别的时候。
[00:36:28.038–00:36:30.892] 我说我说电视剧是。
[00:36:31.622–00:36:33.516] 我说电视剧是谈恋爱。
[00:36:34.214–00:36:39.020] 电影是是史嫖娼，很多人不就笑了吗？
[00:36:40.006–00:36:41.356] 这就是比喻的力量。
[00:36:42.694–00:37:00.556] 而且比喻完了之后，比喻这个后劲儿也很大。我说电视剧是谈恋爱的一种体验，所以电影是嫖娼的一种体验。然后在后面讲电影更讲究服务，讲究满意度，讲究时长乱七八糟的时候，你们都在笑，为什么呢？就是因为这个比喻。
[00:37:01.126–00:37:04.492] 带来这种力量，对吧？或者是说叫。
[00:37:04.966–00:37:07.564] 类比就两个差不多的事情。
[00:37:08.230–00:37:09.164] 如果一类比。
[00:37:11.110–00:37:12.076] 就会很好笑。
[00:37:12.838–00:37:15.372] 所以咱就不用找影视剧里面的例子了啊。
[00:37:18.054–00:37:19.692] 我还可以给大家讲一个例子啊。
[00:37:21.286–00:37:22.156] 就是。
[00:37:24.934–00:37:27.212] 嗯，我跟我一个同事之间的例子。
[00:37:29.798–00:37:35.148] 说这个不知道会不会引战，没事啊，我们纯从我们纯是从台词的角度。
[00:37:35.814–00:37:41.164] 去理解这个问题啊，就理解泪比类的台词。为什么有时候他是幽默的？
[00:37:43.142–00:37:44.204] 我一个同事。
[00:37:44.838–00:37:45.836] 是一个北京大姐。
[00:37:48.678–00:37:54.220] 有一次他说了一段很经典的一段话，我给大家学一下啊，学一下大概的内容你就知道。
[00:37:55.014–00:37:57.068] 这个北京大姐就跟我说，她说。
[00:37:58.214–00:37:58.988] 小桃啊。
[00:38:00.550–00:38:02.732] 我可是不是一个地域歧视的人。
[00:38:03.782–00:38:09.996] 我虽然是土生土长的北京人，但我这个人真不地域歧视。我有很多外地人的朋友呀，对吧？
[00:38:11.174–00:38:15.820] 我讨厌的是哪种呢？讨厌的是那种来了北京霍霍我们北京的人。
[00:38:16.550–00:38:21.484] 对吧没有素质，不讲卫生，不讲文明，就往大城市里扎。
[00:38:22.406–00:38:28.012] 霍霍我们北京这种人我是讨厌的，但真正来建设我们北京的外地人呢。
[00:38:28.518–00:38:31.980] 讲文明讲礼貌又来建设首都的人，我们当然欢迎啊。
[00:38:32.838–00:38:36.332] 对吧只不过我们小时候啊，我们那个北京啊。
[00:38:36.806–00:38:40.076] 山清水秀，小河流水。
[00:38:40.614–00:38:41.036] 哎。
[00:38:42.278–00:38:47.052] 马路上也不堵车对吧？那样的北京呢再也回不去了。
[00:38:48.550–00:38:50.988] 就我这个大姐呢就跟我说了这么一段话。
[00:38:52.230–00:38:53.388] 这段话呢。
[00:38:55.846–00:38:59.180] 从字面上理解其实没毛病，他说的没毛病。
[00:39:00.070–00:39:00.972] 但是呢。
[00:39:01.990–00:39:12.012] 有些玻璃心的人呢，比如说这个这个这个很多人对地欲其士这个事儿很上心嘛。如果上心的话，这个话听着就不舒服了。
[00:39:12.486–00:39:13.100] 对吧。
[00:39:13.862–00:39:15.340] 我当时呢反正也。
[00:39:16.326–00:39:18.988] 我主要是为了搞笑。
[00:39:19.590–00:39:20.364] 然后我就。
[00:39:20.934–00:39:28.492] 我就用类比台词跟大家对话。然后说大姐，您说的对，我同意是吧？我说哎大姐。
[00:39:30.854–00:39:32.428] 你这双眼皮是哪年拉的？
[00:39:32.902–00:39:37.484] 对吧然后大姐说啊，对吧？前些年拉的呀，好看吗？
[00:39:38.214–00:39:40.876] 我说大姐啊，我觉得您这个双眼皮啊。
[00:39:41.894–00:39:42.508] 挺好看。
[00:39:43.686–00:39:44.556] 我呢？
[00:39:46.790–00:39:49.644] 真不是一个歧视拉双眼皮的人。
[00:39:51.622–00:39:52.108] 是吧。
[00:39:52.614–00:39:53.804] 我真不歧视。
[00:39:56.870–00:39:58.188] 你拿了双眼皮之后。
[00:39:58.950–00:39:59.916] 如果漂亮。
[00:40:00.614–00:40:03.724] 增加了整体双眼皮人的颜值。
[00:40:04.230–00:40:05.676] 我很欢迎啊。
[00:40:06.214–00:40:09.004] 对吧我讨厌的是那种什么人呢？
[00:40:09.510–00:40:12.492] 就长得丑，还要拉去拉个双眼皮儿。
[00:40:13.510–00:40:14.508] 拿着也不好看。
[00:40:15.014–00:40:23.660] 拉低了我们整个双眼皮人的颜值，搅乱了我们双眼皮人的这个市场，对吧？有些人呢拉了一个假双眼皮。
[00:40:25.414–00:40:33.804] 就就就感觉自己好看。有些人呢贴了个双眼皮，贴办一个暂住证是吧？这个也在这儿混成双眼皮。
[00:40:34.598–00:40:37.836] 是这些人呢把整体颜值给搞坏。
[00:40:40.390–00:40:42.860] 如果是真要是，拿完之后变漂亮。
[00:40:43.686–00:40:45.772] 我们当然接受当然欢迎。
[00:40:46.822–00:40:48.748] 只不过我们以前啊。
[00:40:49.318–00:40:53.772] 那个没有整容，没有拉双眼皮的，大家都是自然美的那个年代呀。
[00:40:54.854–00:40:57.100] 哎，再也回不去了。
[00:40:58.374–00:41:06.796] 然后这段话一说呢，就给大姐气够呛，你知道吗？但是呢这就是。
[00:41:07.302–00:41:09.580] 一段类比类的台词。
[00:41:10.278–00:41:17.292] 类比类的台词就啥意思呢？就是用另外一种比喻来解析刚才的那个理论。
[00:41:17.830–00:41:26.700] 要么解析的更明确了，让要么让你看清楚里面荒诞的本质，对吧？这就是类比和比喻类的台词。
[00:41:29.318–00:41:33.772] 还有常见的，比如说台词类的就是增加流行元素。
[00:41:34.886–00:41:36.076] 这个很容易理解吧。
[00:41:36.614–00:41:47.596] 增加流行元素啊，很容易理解吧。你在你的台词里面适当增加流行语，哎，也是可以让你的台词更俏皮更搞笑。
[00:41:48.742–00:41:59.052] 所以简单说这几个方面，好吧，简单说这几个方面，这就是关于台词，我们怎么样去增加一些所谓的喜剧元素。
[00:41:59.686–00:42:07.180] 这节课呢就是从这些方面简单给大家说一下，浅谈啊浅谈一下喜剧，浅谈一下戏剧。
[00:42:09.766–00:42:10.828] 欠他一下戏曲。
[00:42:12.198–00:42:14.924] 最后再说一下我们这个喜剧啊。
[00:42:19.782–00:42:24.556] 说一下，我在工作中常遇到一个问题啊，就关于无厘头。
[00:42:27.654–00:42:29.196] 关于无厘头喜剧，因为。
[00:42:30.726–00:42:31.820] 喜剧啊。
[00:42:32.518–00:42:33.644] 也是有类别的。
[00:42:34.150–00:42:35.180] 也是有类别的。
[00:42:37.222–00:42:46.092] 啊，就分啥类别啊，你知道我们在这个收片的时候啊，我们在收片或者收剧本的时候，我们给喜剧就分两类。
[00:42:47.110–00:42:55.756] 一种叫东北喜剧，另外一种叫其他喜剧，或者是一种叫东北喜剧。除了东北喜剧以外，全部叫南派喜剧。
[00:42:56.454–00:42:58.668] 就南方喜剧就分这两种。
[00:43:00.038–00:43:04.748] 南方喜剧呢其实就是以港台的那种气质为主。
[00:43:05.766–00:43:06.508] 但是。
[00:43:08.710–00:43:10.508] 东北喜剧绝对占主流。
[00:43:11.014–00:43:15.468] 东北人扛起了中国喜剧的大半江山。
[00:43:16.262–00:43:29.548] 这个你是种族优势啊，种族优势这这个这个确实是有喜剧潜伏，你不服不行。而且呢人家不光有喜剧潜赋，人家还有长相上的优势。
[00:43:30.502–00:43:50.556] 西东北人的个儿高呀，个儿高脑袋小，脸小，五官的一体，这不天生的上镜的那啥嘛？对不对啊？所以他们又有喜剧天赋，所以从喜剧演员的角度肯定扛起大半江山，从演员的角度都扛半半壁江山，更不用说从喜剧演员的角度了。
[00:43:51.078–00:43:57.036] 所以我们收片的时候啊，我们谈到喜剧真的就两种，一种叫东北喜剧，另外一种叫其他喜剧。
[00:43:58.662–00:44:13.420] 而且东北喜剧数量还比其他喜剧多，我不是自卖自夸啊，我不是东北人啊，同学们很多很多同学以为我是东北人，很多有同学以为我是东北人，我不是啊，我是山东人。
[00:44:14.086–00:44:35.708] 山东人啊，这个这个但是我就说这个意思，就是东北喜剧确实是扛起了半壁江山。但是现在还有一种那那个有就是以前有一种喜剧叫无厘头喜剧。我在这里简单给大家说一下，因为我在工作里面碰到了，我不是说咱们实战课，我碰到啥就跟大家说啥嘛，碰到这个问题，那肯定是一个常见问题，就还现在还有很多人在写无厘头喜剧。
[00:44:36.358–00:44:40.268] 在写无厘头喜剧。其实啊无厘头喜剧。
[00:44:41.094–00:44:47.820] 已经随着星爷的淡出，以这种品类已经。
[00:44:48.710–00:44:49.548] 绝种了。
[00:44:50.278–00:44:52.140] 已经没有了，你不要再写了。
[00:44:53.862–00:45:00.396] 啥叫无厘头喜剧？我们先从定义上理解，无厘头啊就是粤语没来头。
[00:45:00.998–00:45:24.380] 没缘由，没理由，没道理，它的核心就是没有逻辑，明白吗？它的核心就是没有逻辑。我们说啊，你看啊我们的人物在制造俯饰，制造所谓的不合理的时候，但是逻辑还是要的呀。就是他这个不合理，虽然也让你会觉得哎呀这个角色不合理，真好笑，真傻逼，但是他还是有一根逻辑线在牵着的。
[00:45:24.966–00:45:30.860] 不会完全跳脱的，但是无厘头人家明讲的就是没逻辑，没理由呀。
[00:45:31.366–00:45:38.252] 就是没逻辑，这种喜剧就是随着星爷的出现而出现。随着星爷的淡出而淡出大。
[00:45:39.142–00:45:40.684] 只有他能驾驭。
[00:45:41.318–00:45:42.604] 你驾驭不了。
[00:45:44.966–00:45:46.092] 你想啊。
[00:45:46.790–00:45:47.372] 来。
[00:45:47.878–00:45:55.916] 在星爷的电影里，星爷去做一个大少爷，有的是钱，对吧？去全城最好的一个妓院。
[00:45:56.934–00:46:17.148] 去消费。然后进去之后，苑琼丹是老鸨子啊就出来了。然后星爷一把钱撒下，给我找你们镇店的最好的姑娘出来。然后愿琼丹拿着一把钱开心心子了，对吧？放心吧，大少爷来吧，这个这个这个呃春风夏花这个秋秋菊冬梅。
[00:46:17.350–00:46:21.516] 出来见客啦，然后出来三四个老太婆。
[00:46:22.822–00:46:25.004] 四个老太婆要多丑有多丑。
[00:46:25.990–00:46:29.260] 这就是标准的无厘头呀，他没有逻辑呀。
[00:46:29.958–00:46:33.388] 一个全城最好的妓院花那么多钱。
[00:46:34.662–00:46:36.076] 上来四个老太婆。
[00:46:37.126–00:46:48.492] 有逻辑吗？这个人是要坑星爷吗？还是说星爷批好特别呢？还是说这个县里就没有美女呢，没有逻辑，没有道理，你不用去深究这个逻辑。
[00:46:49.542–00:46:51.596] 你就看到星爷，你开心就可以了。
[00:46:52.294–00:46:52.876] 开心。
[00:46:53.382–00:46:57.100] 星爷就喜欢给你搞一个大叔挖鼻孔，然后说她是全程第一美女。
[00:46:59.398–00:47:03.532] 这就叫无厘头，就他能驾驭，你是驾驭不了的。
[00:47:04.230–00:47:09.452] 懂了？所以我提出这个意思就是啥呢？咱们同学不要给我写无厘头戏剧。
[00:47:10.630–00:47:12.332] 不要觉得这就是笑点。
[00:47:13.062–00:47:16.460] 你知道吗？不要觉得这是笑点，这不是。
[00:47:17.030–00:47:20.844] 你如果写这个没有星爷来演的话，那所有人就会觉得。
[00:47:22.502–00:47:23.180] 这是干嘛？
[00:47:25.606–00:47:26.444] 尴尬吗？
[00:47:27.270–00:47:29.164] 很尴尬的呀，对吧？
[00:47:29.766–00:47:31.660] 所以说无厘坨喜剧，我在这里。
[00:47:32.550–00:47:38.188] 单单独拿出来跟大家说一下，不要搞了，就放弃吧啊，最后总结一下。
[00:47:38.758–00:47:40.140] 也就是我之前。
[00:47:42.438–00:47:43.788] 最开始的时候说的。
[00:47:44.486–00:47:45.580] 所谓的喜剧。
[00:47:47.142–00:47:51.596] 和所谓的悲剧，所谓的这个阴阳两面和所谓的这个边界。
[00:47:54.342–00:47:55.436] 没有严格的。
[00:47:56.678–00:48:06.124] 编且也没有严格的高低贵贱，也没有严格的说什么怎么样搞笑就更好，怎么样搞笑就就就。
[00:48:08.678–00:48:09.516] 更高级。
[00:48:10.502–00:48:10.924] 没有。
[00:48:12.006–00:48:13.388] 而且但凡是喜剧。
[00:48:14.406–00:48:16.876] 我感觉总有人会被。
[00:48:18.310–00:48:19.052] 冒反岛。
[00:48:20.454–00:48:21.548] 总有人会被。
[00:48:22.054–00:48:22.796] 冒反倒。
[00:48:23.846–00:48:28.300] 你感觉你摧毁了一个没有价值的东西，那还只是。
[00:48:29.158–00:48:30.092] 你感觉。
[00:48:32.102–00:48:34.220] 那还只是你你的感觉呀。
[00:48:35.462–00:48:36.332] 总有人被。
[00:48:36.998–00:48:37.484] 冒犯党。
[00:48:41.894–00:48:43.180] 那至于这种冒犯。
[00:48:44.358–00:48:45.420] 是对是错呢？
[00:48:46.630–00:48:48.236] 我没有那么高的高度。
[00:48:49.254–00:48:56.332] 我就是一个编剧，是一个匠人，我教大家方法，大家自己去拿捏，好吧。
[00:48:57.350–00:48:57.836] 下课。
[00:49:00.262–00:49:00.780] 嗯。
