P008 第三课-八要素的实战应用3.2
[00:26:47.846–00:26:50.284] 也是他搞掉了这个凶手。
[00:26:51.014–00:26:54.028] 既是他的对手，又是杀害他女儿的凶手。
[00:26:54.534–00:26:55.884] 这就等于是一个。
[00:26:56.550–00:26:58.444] 呃，一件。
[00:26:59.398–00:27:00.236] 这是个键啊。
[00:27:00.902–00:27:02.060] 一键。
[00:27:04.230–00:27:04.940] 双雕。
[00:27:05.638–00:27:09.580] 这是个雕，一箭双雕的一个结局。
[00:27:10.534–00:27:12.588] 对吧那这是第一种结局。
[00:27:13.286–00:27:14.444] 这种结局呢。
[00:27:15.494–00:27:16.588] 就是一个爽片。
[00:27:19.526–00:27:19.948] 片。
[00:27:21.126–00:27:28.300] 就他最后把这个坏人终于绳之以法了，而且这个坏人他当然不用是最后发现啊，他可以在。
[00:27:29.286–00:27:30.380] 他可以是半路发现。
[00:27:31.174–00:27:34.412] 但也别发现太早发现太早纯成了报四仇了。
[00:27:36.294–00:27:41.004] 最好是他决定帮助这些女孩，然后在这个过程中发现。
[00:27:42.694–00:27:50.476] 他还我女儿也是他害的，那就愁上加愁，等于他本身的动机本身的转变是主动的。
[00:27:51.430–00:27:55.052] 然后再到这里，等于一箭双雕是白捡的。
[00:27:55.878–00:27:57.740] 这种片子属于爽片。
[00:27:59.622–00:28:04.396] 就相当商业了，就是因为商业呃商业片不是贬义词啊，同学们。
[00:28:05.638–00:28:12.012] 我说的结局不重要，纯赠送，所以人家赠送你什么都都都可以，你就得着就行了。
[00:28:13.574–00:28:20.396] 赠送这种结局的话就是爽片，让你高兴高兴，其实就是让你高兴高兴，让你让你痛快出一口气儿。
[00:28:21.414–00:28:26.188] 我把女儿也报仇了，痛快出一口气儿，爽篇好吧，就比较商商业。
[00:28:28.070–00:28:28.908] 第二呢。
[00:28:30.054–00:28:30.668] 就是。
[00:28:31.366–00:28:32.588] 抓到了这个凶手。
[00:28:40.582–00:28:41.740] 那凶手就是个凶手。
[00:28:42.694–00:28:44.556] 对吧跟他女儿没有关系。
[00:28:45.158–00:28:47.916] 那这其这就是个正常结局，对吧？
[00:28:48.518–00:28:49.484] 这就是个正常结局。
[00:28:51.014–00:28:51.660] 还有。
[00:28:52.998–00:28:53.484] 一种。
[00:28:55.174–00:28:56.396] 抓到了这个凶手。
[00:28:59.782–00:29:01.292] 拯救了。
[00:29:02.854–00:29:08.556] 这个凶手不是奸杀豆蔻年华的小女孩吗？她手里手里等于有一个。
[00:29:09.158–00:29:09.580] 就是。
[00:29:10.854–00:29:17.100] 就是他抓到这个凶手的时候，同在这个凶手家里拯救了最后一个行将。
[00:29:18.086–00:29:21.196] 遇害的小女孩，等于这个小女孩的命是他赐给她的。
[00:29:22.342–00:29:23.756] 拯救了一个小女孩。
[00:29:28.102–00:29:30.508] 然后呢，这个小女孩。
[00:29:32.742–00:29:34.092] 有个单亲妈妈。
[00:29:35.814–00:29:37.804] 他为什么之前一直寻死呢？
[00:29:38.278–00:29:40.076] 更多的原因其实是孤独。
[00:29:42.054–00:29:43.084] 他如果不是。
[00:29:43.814–00:29:45.164] 自己拉扯这个女儿。
[00:29:45.638–00:29:49.004] 他如果有有有太太的话，他相信他不会。
[00:29:50.086–00:29:55.084] 不会做这个事情，对吧？所以他其实是那种孤独。
[00:29:56.774–00:29:57.548] 带来的。
[00:29:59.590–00:30:01.740] 更大的一个伤痛来自于孤独。
[00:30:02.310–00:30:04.396] 所以说呢这个小女孩有个妈妈。
[00:30:08.966–00:30:13.068] 对吧那等于是什么呢？这个小女孩相当于她女儿的。
[00:30:16.006–00:30:32.460] 然后这个小女孩的妈妈跟他对个眼啊什么的，当然你不能说结尾两个人就搂着亲上的那不会的那没有那种片子，就是就是那个那个比如说这个母亲呃喊这个羞涩的邀请他来家里。
[00:30:33.190–00:30:33.900] 吃个饭啊。
[00:30:34.662–00:30:35.084] 对吧。
[00:30:35.846–00:30:37.036] 你观众就懂了。
[00:30:37.926–00:30:43.468] 就是小女孩的妈妈给就是等于是她最后救赎的对象。
[00:30:44.454–00:30:45.452] 完整了他。
[00:30:46.982–00:30:47.436] 对吧。
[00:30:48.102–00:30:49.164] 这种片呢。
[00:30:50.086–00:30:56.556] 这就叫烂片，也不叫烂片啊，就是就是有点。
[00:30:57.478–00:30:58.476] 有点矫情。
[00:30:58.982–00:31:04.364] 也不是不可以啊，不是真的贬义啊，那咱就不写烂片了，如这这么写不好。
[00:31:04.902–00:31:06.092] 别这么说人家。
[00:31:06.694–00:31:08.076] 就也是一种方式。
[00:31:08.806–00:31:09.516] 就会让你。
[00:31:11.750–00:31:14.156] 就可以让你是另外一种的爽片吧。
[00:31:14.694–00:31:19.532] 对吧那个拯救的这个女孩和她妈妈完整了这个。
[00:31:20.006–00:31:25.772] 完整的完整了这个这个这个警察这个主角对吧？这个主角。
[00:31:27.974–00:31:29.932] 呃，完整的他的人生。
[00:31:30.470–00:31:31.660] 填补了他的。
[00:31:32.742–00:31:33.324] 空虚。
[00:31:33.894–00:31:34.572] 这又是一种。
[00:31:35.302–00:31:36.332] 第四种呢。
[00:31:37.894–00:31:38.572] 就是。
[00:31:39.654–00:31:43.020] 他抓到了最后这个穷凶极恶的凶手。
[00:31:47.174–00:31:48.172] 但同时。
[00:31:51.814–00:31:52.524] 同归于尽。
[00:31:54.374–00:31:54.988] 同归于尽。
[00:32:00.934–00:32:01.996] 啊这种片子呢？
[00:32:04.230–00:32:05.260] 这就叫黑色幽默。
[00:32:05.958–00:32:06.892] 有点讽刺。
[00:32:07.366–00:32:09.484] 就是什么呢？想死的时候死不了。
[00:32:10.438–00:32:11.212] 不想死的时候？
[00:32:13.798–00:32:14.540] 或者说。
[00:32:15.174–00:32:16.524] 也算四点起所。
[00:32:18.694–00:32:20.780] 这起所就是跟凶手。
[00:32:21.766–00:32:22.444] 宏位遇见。
[00:32:23.590–00:32:25.452] 当然还有比这更极端的。
[00:32:26.150–00:32:29.804] 呃，黑色幽默同归于见，就是这个最大的凶手他干掉了。
[00:32:31.430–00:32:50.924] 拿下了没问题，而且立功了啊啊终于那个觉得自己办了一件人事儿，办了一件人应该干的事儿，办了一件父亲应该干的事，办了一件警察干的该干的事儿。但是在他之前，他不是有几次寻死未遂嘛？得罪的一个小痞子，一个非常不起眼的小瘪三，在最后。
[00:32:52.006–00:32:53.132] 给他弄死了。
[00:32:53.958–00:32:54.700] 这就叫。
[00:32:55.238–00:32:59.084] 有病的编剧编的黑色幽默。
[00:32:59.590–00:33:03.948] 也不是不可以，就是说回到最初，你不是想死吗？给你。
[00:33:04.486–00:33:11.148] 好吧，我这我说结局就是想告诉大家，结局其实在这个片子里面已经不影响主题大局了。
[00:33:12.262–00:33:13.580] 已经不影响主题打局了。
[00:33:14.054–00:33:17.772] 随便装一个，看你喜好，这算赠送的对吧？
[00:33:18.374–00:33:19.788] 但我们的故事主体。
[00:33:21.606–00:33:24.012] 细化下细化一下的话，也就够拍了。
[00:33:24.678–00:33:28.908] 这节课就是我说的，咱们把上节课理论上的八要素。
[00:33:29.958–00:33:31.564] 做一个实战应用。
[00:33:33.350–00:33:37.356] 现在同学们应该比较明确了，记住我今天说的这些。
[00:33:38.214–00:33:39.212] 每一个要素。
[00:33:39.782–00:33:40.972] 增加烈度的。
[00:33:42.406–00:33:43.500] 方法和口诀。
[00:33:44.358–00:33:44.780] 好吧。
[00:33:45.318–00:33:45.868] 下课。
