P026 十二课-小蝌蚪找妈妈12.2
[00:25:45.126–00:25:51.276] 把哪吒拌了一个跟头，结果是三太子把哪吒给扒皮抽筋了。
[00:25:52.550–00:25:53.964] 等于彻底改变了历史。
[00:25:54.630–00:25:55.308] 然后。
[00:25:56.134–00:25:58.700] 他在这个事件中需要完成的任务就是。
[00:26:00.582–00:26:03.180] 呃，重新把历史回到正委。
[00:26:05.478–00:26:05.868] 对吧？
[00:26:06.950–00:26:09.004] 没把别把哪吒给杀了啊。
[00:26:09.478–00:26:16.140] 给哪吒办了一个跟头，导致哪吒没有干掉龙王三太子。然后龙王三太子呢就在海里。
[00:26:17.094–00:26:18.316] 他是个恶少呀。
[00:26:18.854–00:26:20.460] 他是个很嚣张的富二代人。
[00:26:21.894–00:26:28.460] 然后龙王三太子最后迅速继承王位，继承王位以后呢，就开始残暴的统治海洋。
[00:26:29.446–00:26:35.052] 把海底的那些呃鱼虾呀什么的海豚、鲸鱼什么的折腾够呛。
[00:26:36.006–00:26:37.676] 全是因为他当年。
[00:26:38.662–00:26:46.380] 重新选择误入海洋，绊了哪吒一个跟头，导致哪吒没有收服这个残暴的龙太子。
[00:26:47.590–00:26:48.652] 那等于他在。
[00:26:49.542–00:26:50.636] 这个大海里。
[00:26:52.390–00:26:55.980] 需要纠正这个事儿，罪孽老大了，闯大祸。
[00:26:57.510–00:26:58.220] 闯大祸了。
[00:27:02.118–00:27:02.732] 最后。
[00:27:03.974–00:27:05.036] 给他一个教训。
[00:27:05.702–00:27:06.924] 就是珍惜当下。
[00:27:07.942–00:27:12.876] 珍惜当下，他完全可以在纠正这个事情的时候，再次回到自己。
[00:27:14.150–00:27:17.484] 生它养它，生活了一辈子的那个小池塘。
[00:27:18.502–00:27:20.108] 去听听妈妈的意见。
[00:27:20.838–00:27:22.700] 妈妈当年不让你去大海。
[00:27:23.494–00:27:28.268] 是有道理的。现在你置身在大海，你感觉你自己是个人物了。
[00:27:29.126–00:27:30.956] 闯出了如此滔天大祸。
[00:27:33.254–00:27:44.012] 有什么解决办法，世界都乱了，没有解决办法，你觉得一头雾水，没有一个对策的时候，你去听听妈妈那些最朴素。
[00:27:46.470–00:27:47.660] 最简单的道理。
[00:27:48.454–00:27:49.932] 说不定反而找到了。
[00:27:51.238–00:27:51.916] 解决的办法。
[00:27:53.382–00:27:54.860] 这就是你得到的教训。
[00:27:56.038–00:27:56.908] 得到的教训。
[00:27:57.446–00:27:59.532] 珍惜当下，珍惜眼前人。
[00:28:00.134–00:28:01.292] 不要好高骛远。
[00:28:01.862–00:28:03.052] 合理的蛤蟆。
[00:28:04.326–00:28:06.092] 别别下海。
[00:28:06.630–00:28:09.292] 对吧你是河里蛤蟆，别下海。
[00:28:10.534–00:28:15.052] 这就是如愿以偿类型，我们可以搞个穿越，明白吧？
