P053 二十七课-剧本的叙事视角27
[00:23:51.910–00:23:57.068] 内视角的时候，你摒去全面了，人让你强烈呀，你单一，但是强烈呀。
[00:23:57.862–00:23:58.828] 流畅呀。
[00:24:00.070–00:24:05.036] 你不用管其他人发生什么，我就走我自己这一条线，我剧情流畅。
[00:24:05.798–00:24:06.348] 紧张。
[00:24:07.590–00:24:08.076] 对不对？
[00:24:09.158–00:24:11.468] 强烈我们之前比喻过。
[00:24:12.166–00:24:14.220] 说是拉着小车。
[00:24:14.822–00:24:21.196] 拉着小车，观众坐在后面，那拉小车经历这个故事，那观众岂不是就是身临其境啊？
[00:24:21.830–00:24:22.444] 投入呀。
[00:24:22.918–00:24:26.700] 让观众的情绪更强烈，因为他身临其境了，代入感强。
[00:24:27.206–00:24:27.948] 参与感强。
[00:24:29.126–00:24:29.836] 這就是。
[00:24:30.406–00:24:32.236] 内视角的优势。
[00:24:33.798–00:24:35.820] 优势，而且内视角啊。
[00:24:38.342–00:24:39.884] 更容易探究人性。
[00:24:40.550–00:24:43.308] 因为你跟着主角走，我们说这主角可不是。
[00:24:43.846–00:24:46.028] 一路上都是在做正确的决定吧。
[00:24:47.366–00:24:49.228] 我们在课上说过，主角在。
[00:24:50.246–00:24:54.060] 旅程中其实要做两次错误决定的，记不记得？
[00:24:55.750–00:25:00.524] 那么他在跟着你一起做这些决定的时候，是不是又探究了人性了？
[00:25:01.222–00:25:03.020] 是不是就拷问了灵魂了呢？
[00:25:05.062–00:25:05.964] 这就是内时交的。
[00:25:06.566–00:25:07.468] 或者说是优势。
[00:25:09.254–00:25:12.748] 我们说这些特点优势就是对应你怎么去选择啊。
[00:25:13.222–00:25:17.676] 我们讲这节课也是有有有用的啊，不是说只是去了解一下。
[00:25:18.374–00:25:21.484] 视角分类，然后你又永远就写你自己。
[00:25:22.086–00:25:29.708] 呃，的那一套，不是的啊，你得学会运用啊。我们说呢全职视角有全职视角的特点，那他适用的片子。
[00:25:31.494–00:25:31.980] 是哪一种？
[00:25:32.966–00:25:38.092] 那全职视角来开天眼，那是适合呢适合事件比较复杂。
[00:25:38.758–00:25:39.724] 人物比较多。
[00:25:40.550–00:25:42.284] 对不对？你要综合的。
[00:25:43.174–00:25:47.436] 空盘看全局，否则看不明白。那你这种片子岂不是就是。
[00:25:48.070–00:25:48.492] 需要。
[00:25:49.862–00:25:50.476] 开天眼嘛。
[00:25:52.486–00:25:57.484] 内视角呢，你你你你这个单一大男主或者单一大女主。
[00:25:58.182–00:25:59.340] 他的个人的命运。
[00:26:00.358–00:26:05.356] 是这个故事的这个这个这个主线，对吧？它的成长弧线很大。
[00:26:06.150–00:26:08.812] 然后呢，他的个性色彩很浓。
[00:26:10.310–00:26:11.756] 他他他这个这个这个这个。
[00:26:12.454–00:26:14.284] 他很有感染力，很有感召力。
[00:26:14.854–00:26:16.908] 那你就是应该考虑。
[00:26:17.670–00:26:18.348] 用内视角。
[00:26:19.782–00:26:20.364] 用内视角。
[00:26:22.438–00:26:23.628] 我们说那这两种。
[00:26:24.806–00:26:26.508] 上立视角和内视角都是非常常用。
[00:26:27.366–00:26:28.364] 其实都挺常用。
[00:26:30.566–00:26:35.628] 内饰要的片子，那呃咱们还以春节档为例啊，老片子咱就不说了，老片子阿凡达。
[00:26:36.614–00:26:44.044] 咱们课上讲过了阿凡达，我还说过呢，他开场就那个那个那个那个那个主角叫杰克嘛，就在那，我是一个特种兵。
[00:26:44.614–00:26:50.572] 我呢心里是咋想的，咱就只要一说自己心里是咋想的，你就知道他是就是内视角了。
[00:26:51.622–00:26:52.108] 对不对？
[00:26:53.638–00:26:55.916] 一说自己心里是咋想的？
[00:26:56.422–00:26:58.092] 这种片子就是内饰角。
[00:27:00.422–00:27:01.548] 就内心的声音啊。
[00:27:02.630–00:27:08.236] 一想起，那这种片子就是那视角阿凡达，咱们这个这个这个春节档还说春节档的例子。
[00:27:08.966–00:27:09.740] 李焕英。
[00:27:10.662–00:27:11.724] 那不就是内视角吗？
[00:27:12.262–00:27:12.684] 对吧。
[00:27:13.286–00:27:14.764] 穿越的基本都是内视角。
[00:27:16.230–00:27:17.836] 你你要经历的这些事。
[00:27:18.438–00:27:22.188] 观众跟着你一块经历嘛，因为穿越是一个很奇怪的事情嘛。
[00:27:22.982–00:27:27.084] 这就是内视角。我们说比较不常用的是外视角。
[00:27:27.910–00:27:30.476] 我们说外视角听着就有点怪。
[00:27:31.046–00:27:32.460] 是吧它非人类。
[00:27:33.094–00:27:36.428] 他的信息量呢还小于人物，他知道的少。
[00:27:36.902–00:27:39.212] 那这个这个讲故事还有什么意思啊？
[00:27:39.782–00:27:41.676] 你这个讲述者啥也不知道。
[00:27:43.590–00:27:45.324] 你不开天眼也就罢了。
[00:27:45.990–00:27:47.404] 你连人物都不如。
[00:27:47.878–00:27:49.868] 你都不知道这个人在想什么。
[00:27:52.358–00:27:54.060] 那你这个讲故事的人。
[00:27:55.878–00:27:56.972] 会不会也太。
[00:27:58.790–00:28:03.532] 你还给我们讲什么，对吧？我们我们为什么要听你这故事呢？
[00:28:05.798–00:28:07.532] 其实也是有自己的优势的。
[00:28:09.254–00:28:12.908] 首先我们说上帝视角相对客观，因为他不代入代入人物。
[00:28:13.478–00:28:15.148] 但其实最客观的是外视角。
[00:28:16.422–00:28:19.116] 因为他都没有生命，你上帝好歹也是。
[00:28:20.998–00:28:22.828] 对吧也是个生命嘛。
[00:28:23.494–00:28:26.124] 你好歹也有自己的喜好，自己的观点嘛。
[00:28:27.270–00:28:28.588] 你有自己的取舍。
[00:28:29.190–00:28:30.636] 但是外视角是没有的。
[00:28:31.302–00:28:35.372] 外视角更冷静，更客观，更冷眼，旁观一切。
[00:28:37.254–00:28:38.156] 他不参与。
[00:28:38.950–00:28:40.204] 任何人的内心。
[00:28:41.158–00:28:43.116] 也不参与是非对错的判断。
[00:28:45.062–00:28:45.932] 不参与取舍。
[00:28:46.726–00:28:48.940] 所以他最客观最冷静。
[00:28:51.110–00:29:05.420] 当然了，因为他小于人物，你还可以说他还有个什么优势，他有留白，这就是没有优势的优势啊，他有留白，他有想象空间，他刻意了刻意的制造了观众对角色的想象。
[00:29:06.342–00:29:10.188] 因为我们也不知道他咋想的，反正这些事情就是在这么发生着。
[00:29:14.406–00:29:15.276] 这种片子啊。
[00:29:15.782–00:29:16.332] 也有。
[00:29:18.246–00:29:18.988] 比如说。
[00:29:20.230–00:29:21.548] 大家回去看一下啊。
[00:29:22.790–00:29:24.332] 有个美剧叫副总统。
[00:29:25.958–00:29:27.724] 副总统大家可以去看一下。
[00:29:28.870–00:29:33.740] 还有一个叫摩登家庭，摩登家庭，你去看标准的外视角不参与任何。
[00:29:34.918–00:29:36.332] 不参与任何这个。
[00:29:37.222–00:29:40.652] 角色不参与任何任务。那这种叙事方式。
[00:29:41.446–00:29:44.236] 咱们在实战中是怎么去运用呢？
[00:29:45.094–00:29:49.708] 你可以这么理解，外视角呢是无视角和内视角的。
[00:29:50.310–00:29:51.468] 进一步极端。
[00:29:52.646–00:29:54.252] 或者叫进一步妥协。
[00:29:57.478–00:29:58.988] 你发生的这个故事。
[00:30:03.494–00:30:05.036] 你追求它的真实性。
[00:30:05.798–00:30:07.148] 追求它的客观性。
[00:30:07.846–00:30:08.780] 也没有。
[00:30:09.510–00:30:10.956] 兴趣去解读。
[00:30:11.686–00:30:13.644] 只是让观众去欣赏。
[00:30:14.150–00:30:14.924] 藤的欣赏。
[00:30:15.814–00:30:17.996] 在这种情况下是可以用无视角的。
[00:30:20.486–00:30:22.764] 大家回去看一下那个副总统和摩登加。
[00:30:23.558–00:30:24.652] 就知道我们在说什么。
[00:30:29.254–00:30:30.572] 这就是三种视角。
[00:30:32.486–00:30:33.900] 分别的特点。
[00:30:34.534–00:30:36.044] 和分别的适用场景。
[00:30:37.446–00:30:38.444] 参考片的话。
[00:30:40.838–00:30:42.924] 上帝视角最多，大家随便去看。
[00:30:43.846–00:30:44.780] 内视角的。
[00:30:45.958–00:30:46.828] 泰他阿凡达。
[00:30:47.750–00:30:48.364] 太大分了。
[00:30:49.190–00:30:50.284] 李焕英啊。
[00:30:50.758–00:30:51.372] 都是这种。
[00:30:52.582–00:30:53.676] 外视角的呢。
[00:30:55.782–00:30:58.188] 其实大部分的战争片都是外视交同学们。
[00:30:59.206–00:31:02.508] 为什么？我们刚才说了啊，外视角这个视角有什么特点？
[00:31:03.174–00:31:03.916] 客观。
[00:31:04.742–00:31:05.676] 不掺和。
[00:31:06.182–00:31:07.116] 不参与。
[00:31:07.942–00:31:08.652] 残酷。
[00:31:09.926–00:31:10.924] 冷酷吗？
[00:31:11.558–00:31:13.548] 那什么东西符合这几个特点？
[00:31:14.822–00:31:15.212] 站着。
[00:31:16.838–00:31:18.060] 战争片就是这样。
[00:31:20.838–00:31:26.764] 战争片里面我不需要开天眼。这场战争，比如说二战的片子，你都知道怎么回事，所有人都知道。
[00:31:27.398–00:31:29.004] 谁跟谁打的没有什么悬念。
[00:31:31.750–00:31:39.244] 人物呢所有的人物都是都变成了战争的机器，变成杀戮的机器。我也我也无意走进他们任何人的内心。
[00:31:41.350–00:31:45.836] 所以说你看外视角是不是就是无视角和内视角的进一步妥协？
[00:31:48.614–00:31:49.292] 战争片。
[00:31:51.046–00:31:52.364] 很多都是外视角。
[00:31:53.350–00:31:53.964] 比如说。
[00:31:54.694–00:31:56.716] 我能想到的拯救大命主耶。
[00:31:58.438–00:31:58.892] 拯牛拉边。
[00:32:00.710–00:32:01.292] 就很冷酷。
[00:32:02.406–00:32:03.116] 这一个外视角。
[00:32:05.318–00:32:06.444] 同样是。
[00:32:08.070–00:32:09.100] 这个。
[00:32:12.838–00:32:13.740] 汤姆汉克斯的。
[00:32:14.918–00:32:16.268] 今年的汇猎拳哈。
[00:32:17.894–00:32:18.700] 大家去看一下。
[00:32:19.334–00:32:20.108] 什么叫外视角？
[00:32:21.126–00:32:21.804] 什么叫外市角。
[00:32:22.662–00:32:23.628] 所以说战争片。
[00:32:25.062–00:32:26.188] 这种比较残酷的。
[00:32:29.062–00:32:29.836] 计时风格的。
[00:32:30.310–00:32:30.668] 故事。
[00:32:31.398–00:32:32.588] 你是可以考虑外视角。
[00:32:34.566–00:32:36.332] 这里讲到了拯救大兵瑞安。
[00:32:39.462–00:32:45.260] 为了防止大家抬杠，我给大家讲一下拯救大兵瑞恩为什么是外世件，拯救大兵瑞恩啊。
[00:32:46.406–00:32:48.556] 起头其实是瑞恩的回忆。
[00:32:50.214–00:32:52.556] 对吧被拯救的是马特达蒙嘛。
[00:32:53.318–00:32:54.380] ran这个角色。
[00:32:56.326–00:32:56.684] 他。
[00:32:57.478–00:32:58.188] 去扫墓。
[00:32:59.494–00:33:02.988] 去追忆这些为了救他而牺牲的战友。
[00:33:03.654–00:33:06.156] 然后再引出了当时的故事。
[00:33:06.950–00:33:08.364] 这其实是个假回忆。
[00:33:09.318–00:33:10.380] 其实是个假回忆。
[00:33:11.590–00:33:25.196] 因为马特达蒙作为被拯救者，是在故事的终点。我们说拯救大兵瑞恩这种故事一听，任务线非常明确，我们再回趁这个机会回忆一下以前的知识啊，拯救大兵瑞恩。
[00:33:26.918–00:33:32.684] 小蝌蚪找妈妈是一个句式，对不对？你去找瑞恩呀，那么什么时候找到瑞恩？
[00:33:33.766–00:33:34.508] 终点。
[00:33:35.238–00:33:37.004] 故事的终点找到瑞恩。
[00:33:37.862–00:33:40.428] 所以那在找到他之前，这些事情是。
[00:33:43.718–00:33:44.588] 运人怎么知道？
[00:33:45.798–00:33:46.764] 所以岳言是不知道。
[00:33:47.782–00:33:48.652] 女人是不知道。
[00:33:49.478–00:33:51.596] 所以在很多故事里面。
[00:33:54.950–00:33:59.404] 首先我们定性拯救大明营瑞安是个外视角的片子，因为它是个冷酷的战争。
[00:34:01.030–00:34:01.580] 但是。
[00:34:03.334–00:34:05.932] 因为泰它毕竟是个商业大片。
[00:34:07.174–00:34:08.300] 太过冷酷呢。
[00:34:09.414–00:34:10.796] 观众看起来是很累的。
[00:34:12.102–00:34:13.740] 所以他套用了一个。
[00:34:14.662–00:34:15.596] 瑞恩的回忆。
[00:34:16.102–00:34:17.580] 作为前面的一个小帽子。
[00:34:19.974–00:34:21.260] 来修饰了一下。
[00:34:21.894–00:34:22.380] 外视角。
[00:34:23.110–00:34:25.292] 形成一定程度的。
[00:34:26.886–00:34:27.340] 内视角。
[00:34:29.030–00:34:34.572] 不太好理解对吧？借由这个我们就讲一下关于视角的另外一种观点。
[00:34:36.230–00:34:37.900] 我们先把拯救大明瑞渊放下。
[00:34:38.502–00:34:40.364] 我们来看一下这三种视角。
[00:34:41.062–00:34:42.348] 无视角内视角外视角。
[00:34:43.238–00:34:44.012] 这是一种说法。
[00:34:44.838–00:34:45.868] 这是一家之说。
[00:34:46.822–00:34:48.140] 它是一个基本的分类。
[00:34:49.126–00:34:49.836] 但是呢。
[00:34:50.374–00:34:51.020] 也有。
[00:34:52.614–00:34:53.356] 观点认为。
[00:34:55.654–00:34:56.524] 一切视角。
[00:34:57.318–00:34:58.156] 都是全制视角。
[00:34:58.982–00:35:00.268] 没有所谓的限制。
[00:35:05.926–00:35:08.396] 啥意思呢？就是你内视角。
[00:35:09.542–00:35:10.892] 你以为你就是人物吗？
[00:35:13.862–00:35:14.764] 你就是人物吗？
[00:35:17.414–00:35:17.996] 你不是的。
[00:35:21.350–00:35:24.044] 你只是在伪装成一个人。
[00:35:25.286–00:35:26.252] 我们说。
[00:35:28.358–00:35:30.828] 故事永远是叙事者在讲述的。
[00:35:31.590–00:35:32.780] 是你在讲述的。
[00:35:33.862–00:35:36.236] 你是编剧啊，你是创作者。
[00:35:37.542–00:35:40.076] 你其实知道所有的事情。
[00:35:42.086–00:35:45.196] 你说你等于人物，你就真的等于人物了吗？
[00:35:48.678–00:35:50.092] 不可能完全等于人物。
[00:35:51.110–00:35:52.844] 你还是全职视角。
[00:35:54.150–00:35:57.612] 我们说你如果等于人物，假设这个人物在故事中。
[00:35:58.086–00:36:01.100] 就是你这个电影故事里面，你这个人物。
[00:36:03.654–00:36:04.300] 第一天。
[00:36:05.094–00:36:05.740] 嗯。
[00:36:06.726–00:36:07.436] 他爹被杀了。
[00:36:07.974–00:36:13.644] 第二天上路去报仇，第三天呢手刃了对手，把仇报了一共。
[00:36:14.214–00:36:15.564] 在故事里面经过了3天。
[00:36:16.134–00:36:17.676] 但是你呈现出故事。
[00:36:18.214–00:36:19.436] 是不是只用了2小时？
[00:36:20.774–00:36:23.468] 你为什么选择呈现这两小时？
[00:36:24.454–00:36:26.508] 他睡觉了那8小时，你咋没呈现？
[00:36:28.902–00:36:29.356] 对不对？
[00:36:29.926–00:36:31.820] 他睡觉前跟他媳妇儿还。
[00:36:32.774–00:36:34.636] 打了一炮，你咋没成现？
[00:36:35.142–00:36:40.844] 一共打了25分钟，但你只呈现了10秒，从热吻到脱衣服，然后哎结束了。
[00:36:41.478–00:36:42.540] 你咋不全城建呢？
[00:36:44.838–00:36:46.284] 你不说你等于人物吗？
[00:36:46.854–00:36:49.004] 人物经历了25分钟呀。
[00:36:50.662–00:36:52.236] 你咋只成现了10秒呢？
[00:36:55.270–00:36:57.132] 就说你不可能等于人物。
[00:36:57.702–00:37:02.220] 你在揉搓这个时间，你在时间这个维度上还是全知的。
[00:37:02.790–00:37:04.108] 因为你知道这边没用。
[00:37:04.998–00:37:09.388] 你知道这一段对剧情没有用，对后面剧情发展没有大用。
[00:37:10.310–00:37:11.180] 所以你给跳货了。
[00:37:12.742–00:37:14.060] 那谁允许你这么做呢？
[00:37:14.534–00:37:15.692] 你为什么要这么做呢？
[00:37:16.678–00:37:18.316] 不就是你还是天爷。
[00:37:19.910–00:37:20.908] 还是全芝麻。
[00:37:21.702–00:37:25.964] 所以有一种观点认为，没有所谓的全职限制。
[00:37:26.694–00:37:27.532] 所有的。
[00:37:29.798–00:37:31.244] 所有的视角。
[00:37:32.390–00:37:33.676] 都是全职视角。
[00:37:34.502–00:37:36.876] 只不过是我们有时候。
[00:37:37.574–00:37:38.860] 在某些故事。
[00:37:39.622–00:37:43.468] 里面需要伪装成自己不知道。
[00:37:46.502–00:37:47.084] 伪装成。
[00:37:49.990–00:37:51.788] 能理解吗？有点绕是吧？
[00:37:52.294–00:37:53.580] 就是在全职中。
[00:37:55.174–00:37:56.812] 本质上一切皆为全知。
[00:38:00.454–00:38:01.676] 但是在很多时候。
[00:38:03.750–00:38:05.036] 我们在全职中。
[00:38:05.670–00:38:06.316] 需要去。
[00:38:07.014–00:38:07.788] 伪装成。
[00:38:08.294–00:38:08.844] 限制。
[00:38:09.734–00:38:14.828] 很简单的道理，你如果不伪装的话，你给我讲一个故事，你是上帝。
[00:38:15.558–00:38:20.396] 你给我讲一个故事，讲2小时，中间有一段给我吓够呛。
[00:38:20.870–00:38:22.508] 有一点给我急得要命。
[00:38:23.206–00:38:24.428] 那我就问你上帝哎。
[00:38:25.126–00:38:28.364] 你全知呀，你告诉我后面怎么回事呗。
[00:38:29.062–00:38:30.828] 你为什么要掉我胃口呢？
[00:38:31.814–00:38:33.260] 你为什么要戏弄我呢？
[00:38:33.926–00:38:35.628] 你为什么要给我设置悬念呢？
[00:38:36.774–00:38:37.228] 对不对？
[00:38:37.862–00:38:40.620] 你能不能别装了，你明明什么都知道。
[00:38:41.702–00:38:42.700] 不就是这种情况吗？
[00:38:43.878–00:38:44.812] 就是说你如果。
[00:38:45.574–00:38:49.068] 牢牢坐在全职位置上上的话，是不是会会被人。
[00:38:49.606–00:38:50.028] 质疑。
[00:38:52.486–00:38:58.476] 所以说有一种观点认为，所有的视角本质上都是全职的，只不过我们在全职中。
[00:38:59.078–00:38:59.756] 寻找限制。
[00:39:00.454–00:39:02.220] 所以大家理解这种观点了啊。
[00:39:03.110–00:39:04.172] 就是本质上。
[00:39:05.222–00:39:12.748] 皆为全职，因为确实是这样，这故事是你写的，你作为叙事者，你当然是全职的，你知道后面咋发展。
[00:39:13.766–00:39:14.604] 但是为了。
[00:39:16.198–00:39:22.380] 达到故事的真实性也好，紧张性也好，流畅性也好，你需要把自己伪装成。
[00:39:23.366–00:39:23.980] 限制。
[00:39:26.598–00:39:27.660] 伪装成现实。
[00:39:30.534–00:39:31.340] 所以咱们。
[00:39:34.694–00:39:35.500] 记住一个。
[00:39:36.358–00:39:37.036] 后决。
[00:39:37.830–00:39:41.964] 也就是说你自己在创作故事的时候，你首先要锚定一个视角。
[00:39:43.046–00:39:47.308] 我们理解了这些理论之后，你自己在创作故事的时候。
[00:39:47.910–00:39:52.652] 首先你要锚定一个视角，比如说你锚定了你是全只视角。
[00:39:54.822–00:39:56.556] 你锚定了，你是全职视角。
[00:39:58.118–00:39:59.276] 你动悉一切吧。
[00:40:00.806–00:40:01.900] 你啥都知道吧。
[00:40:05.158–00:40:06.124] 你是上帝呀。
[00:40:07.366–00:40:11.788] 在全知视角的讲述里面，你自己要去追求限制。
[00:40:13.318–00:40:14.572] 你哪些藏着？
[00:40:15.846–00:40:18.732] 哪些不藏着，哪些故意视而不见。
[00:40:20.518–00:40:25.132] 这不就是限制吗？所以在全职视角里面，你自己要去刻意的。
[00:40:25.830–00:40:27.532] 寻找现实的尺度。
[00:40:29.350–00:40:31.244] 你如果觉得你这个故事。
[00:40:31.814–00:40:35.468] 适合比如说内视角或者外视角，也就是限制视角。
[00:40:35.942–00:40:39.436] 你毛定你是一个限制视角的讲述方式。
[00:40:40.006–00:40:42.572] 那么你需要在你的限制里面。
[00:40:43.142–00:40:44.204] 去找你的全职。
[00:40:46.886–00:40:48.076] 找你你的全职。
[00:40:50.086–00:40:50.828] 因为你。
[00:40:51.910–00:40:52.780] 并不是。
[00:40:53.286–00:40:58.380] 故事中的一个人物，或者并不是故事中的一个客观存在。
[00:40:59.302–00:41:03.212] 你还是需要想办法让观众获得。
[00:41:04.294–00:41:05.068] 全面的信息。
[00:41:07.014–00:41:08.076] 获得全面的信息。
[00:41:16.038–00:41:18.412] 这个比较难懂啊，我给大家举几个例子啊。
[00:41:20.134–00:41:20.748] 我们说。
[00:41:27.270–00:41:29.100] 刚才举过例子的摩登家庭。
[00:41:29.702–00:41:31.884] 摩登家庭我们说是一个外世家。
[00:41:32.518–00:41:34.476] 他很冷静，很客观的。
[00:41:34.950–00:41:37.164] 记录几家人的生活。
[00:41:37.702–00:41:38.892] 像个摄像机一样。
[00:41:39.846–00:41:44.300] 像一个冷血的观察者一样，整个片子像个纪录片一样。
[00:41:44.806–00:41:46.892] 我们说这种片子啊，它确实真实。
[00:41:47.686–00:41:49.900] 确实客观，却实冷静。
[00:41:51.366–00:41:53.100] 但是呢它缺乏温度。
[00:41:53.766–00:41:54.988] 他缺乏内心。
[00:41:56.198–00:42:05.484] 的东西。所以你去看摩登家庭，经常有一段戏演完之后，一家人坐在沙发上接受外视角的采访。
[00:42:06.822–00:42:09.100] 就外视角像个记者，像摄影机一样。
[00:42:10.118–00:42:12.652] 处在那儿，然后他开始解释，哎，我刚才。
[00:42:13.446–00:42:18.444] 骗了一下我老婆，其实我不是故意想骗他，因为有时候我真的很就是开始对着。
[00:42:19.270–00:42:20.044] 镜头。
[00:42:20.646–00:42:22.188] 开始叨叨。
[00:42:23.238–00:42:23.916] 开始叨叨。
[00:42:28.518–00:42:29.964] 这就是在限制中。
[00:42:31.110–00:42:32.748] 去想办法找点全职。
[00:42:33.446–00:42:34.476] 弥补一下。
[00:42:35.078–00:42:35.628] 你的。
[00:42:36.710–00:42:37.260] 问题。
[00:42:38.214–00:42:39.404] 我再给大家举个例子啊。
[00:42:40.838–00:42:43.308] 也是课上讲过的肖申克的救赎。
[00:42:44.390–00:42:48.108] 我们说肖申克的救赎是一个很典型的。
[00:42:49.766–00:42:50.508] 内视角。
[00:42:51.942–00:42:53.420] 内饰角非常典型。
[00:42:54.182–00:42:56.748] 非常典型的内视角，谁的视角？
[00:42:57.958–00:43:00.972] red的视角，摩根弗利曼那个角色呀。
[00:43:01.542–00:43:02.956] 他第一次看到安y。
[00:43:03.494–00:43:10.860] 他是咋想的？安迪进到他们监狱，他觉得这个人是个软蛋。然后后来一步一步发现哇，安迪这个人不简。
[00:43:11.590–00:43:13.548] 他在讲述安迪的故事。
[00:43:14.438–00:43:17.964] 他在观察安迪的故事，就是说叙事者跟。
[00:43:19.430–00:43:21.740] 摩根弗里曼这个角色合二为一了。
[00:43:24.582–00:43:26.028] 这是典型的内视角。
[00:43:26.726–00:43:28.844] 当然他不是主角的那视角。
[00:43:29.382–00:43:40.236] 他是第二主角的内视角，或者说叫配角的内视角。摩根福利曼是配角，还是第二主角，咱们不去探讨，这是字面上的区别，没有意义。好吧，我们只说。
[00:43:41.030–00:43:41.868] 这是一个。
[00:43:43.462–00:43:46.316] 第二主角的内视角的电影。
[00:43:46.854–00:43:48.748] 他通过摩根弗里曼的。
[00:43:50.406–00:43:50.956] 视角。
[00:43:51.910–00:43:53.164] 讲述整个故事。
[00:43:55.078–00:43:55.884] 但是我们说了。
[00:43:57.030–00:43:58.028] 开场的那一段。
[00:43:59.526–00:44:00.044] 怎么算？
[00:44:02.150–00:44:02.668] 咋算？
[00:44:03.718–00:44:06.956] 开场那一段，安迪没进监狱之前，摩根弗利曼是。
[00:44:08.390–00:44:09.772] 从一开始就在监狱里的。
[00:44:10.598–00:44:19.020] 没进监狱之前，安迪那个案子，他的杀妻案是怎么发生的，怎么产生的误会，怎么审判，怎么怎么被。
[00:44:19.558–00:44:20.140] 冤枉。
[00:44:20.614–00:44:21.548] 这段。
[00:44:22.630–00:44:23.852] red可没看到啊。
[00:44:26.310–00:44:27.372] red可没看到啊。
[00:44:28.518–00:44:29.356] 那这段算什么？
[00:44:32.166–00:44:34.284] 所以说这段实际上就是一段。
[00:44:35.014–00:44:35.692] 上级视角。
[00:44:37.542–00:44:38.316] 一段上帝时间。
[00:44:38.982–00:44:42.252] 他是用在片子开头，相当于一个前史。
[00:44:43.942–00:44:49.132] 你可以算他还没进正片，所以用了一段上帝视角，你也可以算他。
[00:44:50.982–00:44:55.276] 哎，就先用一段上帝视角，得把这个事儿讲明白，然后再进入。
[00:44:56.326–00:44:57.292] 第二主角的内视角。
[00:44:58.630–00:44:59.692] 弥补了他。
[00:45:00.966–00:45:04.876] 我们说内视角就是限制，你在现制中你。
[00:45:05.638–00:45:08.044] 知道的太少，有时候也不行啊。
[00:45:08.550–00:45:10.508] 你就在限实中寻找前值。
[00:45:11.078–00:45:13.804] 就硬加了一段上帝视角在最开头。
[00:45:14.374–00:45:16.748] 当然，肖申克救书里面还有一段。
[00:45:17.286–00:45:20.300] 我们说肖申克的救赎啊，肖申克这个监狱啊。
[00:45:21.094–00:45:22.476] 摩根福利曼这个角色。
[00:45:23.174–00:45:23.884] 到最后。
[00:45:24.678–00:45:28.844] 其实在那在最后出狱之前，所有的时间都在监狱里面。
[00:45:29.894–00:45:33.292] 都跟安迪在一起，所以他讲述安迪的故事是合情合理的。
[00:45:34.214–00:45:38.604] 这个视角没有毛病，但是其中有一段啊有一段。
[00:45:39.110–00:45:46.604] 那个谁那个养乌鸦的那个老头，你记得吧？有一个老头养乌鸦的岁数很大的，终身监禁，做了一辈子监狱。
[00:45:47.270–00:45:49.196] 然后呢，他出狱以后。
[00:45:49.766–00:45:57.900] 因为已经完全不适应外面的世界，他连车都没怎么见过，汽车都没怎么见过，已经完全不适应外面的环境。
[00:45:58.726–00:45:59.308] 自杀了。
[00:46:01.382–00:46:01.804] 自杀了。
[00:46:02.854–00:46:03.724] 这一段事情。
[00:46:05.510–00:46:06.412] re的你咋知道？
[00:46:08.038–00:46:08.652] 你咋知道？
[00:46:11.462–00:46:16.236] 你是限制视角，你咋知道人家在监狱外面在超市打工，经历了什么？
[00:46:16.806–00:46:18.636] 你咋人知道人家怎么自杀的？
[00:46:21.062–00:46:25.676] 在这里，他很巧妙的运用了那个老头的来信。
[00:46:26.438–00:46:28.236] 也就是讲述这段戏的时候。
[00:46:28.934–00:46:35.788] 是re拿起了那个老头的来信，读那个老头的信，然后切到了那个老头的。
[00:46:36.486–00:46:37.612] 外面的戏份。
[00:46:38.470–00:46:40.076] 所以说这也是在限制中。
[00:46:41.510–00:46:45.164] 去尽力的寻找全职，去补足你的。
[00:46:45.862–00:46:46.476] 叙事问题。
[00:46:47.814–00:46:54.508] 你看这就是在实战应用中比较有趣的地方，对吧？权职中找限制，限制中找权。
[00:46:55.686–00:46:56.204] 当然了。
[00:46:56.710–00:46:59.308] 关于叙事视角比较有趣的片子有很多啊。
[00:46:59.782–00:47:00.940] 最典型的罗生门。
[00:47:02.406–00:47:03.276] 罗生门嘛。
[00:47:03.846–00:47:05.836] 罗生门也是一个内视角。
[00:47:06.566–00:47:07.884] 但是他换了好几次。
[00:47:08.646–00:47:09.484] 每一个角色。
[00:47:10.086–00:47:10.956] 都给你来一遍。
[00:47:12.774–00:47:13.804] 迹向内视角。
[00:47:14.758–00:47:16.300] 但是又客观冷静的。
[00:47:18.982–00:47:19.820] 像一个外事。
[00:47:22.534–00:47:23.852] 因为你也不知道。
[00:47:24.422–00:47:25.196] 究竟发生什？
[00:47:27.398–00:47:27.852] 究竟法。
[00:47:32.422–00:47:35.276] 同样在视角上大作文章的，还有一部电影。
[00:47:35.750–00:47:36.460] 非常有趣的。
[00:47:38.054–00:47:38.764] 少年派。
[00:47:39.942–00:47:40.716] 李安导演的。
[00:47:41.478–00:47:43.628] 安利李安导演啊。
[00:47:44.582–00:47:48.588] 少年派大家回去也可以回顾一下少年派是啥视调。
[00:47:52.166–00:47:53.132] 少年派。
[00:47:54.694–00:47:55.564] 讲述者。
[00:47:56.486–00:47:57.580] 是中年派。
[00:47:59.494–00:48:00.844] 中年派讲述。
